mode,example,elapsed_ms
bidirectional+remove-redundant-parts+remove-redundant-sets,snapshot_isolation_directly_as_NS_without_yields.json,637
generate-less,snapshot_isolation_directly_as_NS_without_yields.json,698
bidirectional+generate-less,snapshot_isolation_directly_as_NS_without_yields.json,719
remove-redundant-parts+generate-less,snapshot_isolation_directly_as_NS_without_yields.json,860
bidirectional+remove-redundant-parts+generate-less,snapshot_isolation_directly_as_NS_without_yields.json,744
remove-redundant-sets+generate-less,snapshot_isolation_directly_as_NS_without_yields.json,663
bidirectional+remove-redundant-sets+generate-less,snapshot_isolation_directly_as_NS_without_yields.json,711
remove-redundant-parts+remove-redundant-sets+generate-less,snapshot_isolation_directly_as_NS_without_yields.json,730
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,snapshot_isolation_directly_as_NS_without_yields.json,609
smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields.json,568
bidirectional+smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields.json,570
remove-redundant-parts+smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields.json,537
bidirectional+remove-redundant-parts+smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields.json,568
remove-redundant-sets+smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields.json,604
bidirectional+remove-redundant-sets+smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields.json,623
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields.json,600
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields.json,691
generate-less+smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields.json,721
bidirectional+generate-less+smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields.json,680
remove-redundant-parts+generate-less+smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields.json,730
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields.json,736
remove-redundant-sets+generate-less+smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields.json,688
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields.json,657
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields.json,693
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields.json,689
regular,snapshot_isolation_directly_as_NS_with_yields.json,3156
bidirectional,snapshot_isolation_directly_as_NS_with_yields.json,2751
remove-redundant-parts,snapshot_isolation_directly_as_NS_with_yields.json,2598
bidirectional+remove-redundant-parts,snapshot_isolation_directly_as_NS_with_yields.json,2382
remove-redundant-sets,snapshot_isolation_directly_as_NS_with_yields.json,2362
bidirectional+remove-redundant-sets,snapshot_isolation_directly_as_NS_with_yields.json,2699
remove-redundant-parts+remove-redundant-sets,snapshot_isolation_directly_as_NS_with_yields.json,2721
bidirectional+remove-redundant-parts+remove-redundant-sets,snapshot_isolation_directly_as_NS_with_yields.json,2389
generate-less,snapshot_isolation_directly_as_NS_with_yields.json,2675
bidirectional+generate-less,snapshot_isolation_directly_as_NS_with_yields.json,2921
remove-redundant-parts+generate-less,snapshot_isolation_directly_as_NS_with_yields.json,2619
bidirectional+remove-redundant-parts+generate-less,snapshot_isolation_directly_as_NS_with_yields.json,2242
remove-redundant-sets+generate-less,snapshot_isolation_directly_as_NS_with_yields.json,2558
bidirectional+remove-redundant-sets+generate-less,snapshot_isolation_directly_as_NS_with_yields.json,2907
remove-redundant-parts+remove-redundant-sets+generate-less,snapshot_isolation_directly_as_NS_with_yields.json,2826
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,snapshot_isolation_directly_as_NS_with_yields.json,2762
smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields.json,3188
bidirectional+smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields.json,2769
remove-redundant-parts+smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields.json,2400
bidirectional+remove-redundant-parts+smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields.json,2837
remove-redundant-sets+smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields.json,2918
bidirectional+remove-redundant-sets+smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields.json,2767
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields.json,2749
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields.json,2651
generate-less+smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields.json,2851
bidirectional+generate-less+smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields.json,3203
remove-redundant-parts+generate-less+smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields.json,2998
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields.json,3449
remove-redundant-sets+generate-less+smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields.json,1673
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields.json,2806
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields.json,3050
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields.json,3171
regular,state_machine.json,1394
bidirectional,state_machine.json,1451
remove-redundant-parts,state_machine.json,6833
bidirectional+remove-redundant-parts,state_machine.json,1938
remove-redundant-sets,state_machine.json,1485
bidirectional+remove-redundant-sets,state_machine.json,1453
remove-redundant-parts+remove-redundant-sets,state_machine.json,1707
bidirectional+remove-redundant-parts+remove-redundant-sets,state_machine.json,1884
generate-less,state_machine.json,224
bidirectional+generate-less,state_machine.json,199
remove-redundant-parts+generate-less,state_machine.json,199
bidirectional+remove-redundant-parts+generate-less,state_machine.json,179
remove-redundant-sets+generate-less,state_machine.json,190
bidirectional+remove-redundant-sets+generate-less,state_machine.json,195
remove-redundant-parts+remove-redundant-sets+generate-less,state_machine.json,195
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,state_machine.json,186
smart-kleene-order,state_machine.json,1430
bidirectional+smart-kleene-order,state_machine.json,1399
remove-redundant-parts+smart-kleene-order,state_machine.json,3938
bidirectional+remove-redundant-parts+smart-kleene-order,state_machine.json,4783
remove-redundant-sets+smart-kleene-order,state_machine.json,1460
bidirectional+remove-redundant-sets+smart-kleene-order,state_machine.json,1333
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,state_machine.json,2238
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,state_machine.json,2534
generate-less+smart-kleene-order,state_machine.json,184
bidirectional+generate-less+smart-kleene-order,state_machine.json,157
remove-redundant-parts+generate-less+smart-kleene-order,state_machine.json,164
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,state_machine.json,166
remove-redundant-sets+generate-less+smart-kleene-order,state_machine.json,183
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,state_machine.json,180
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,state_machine.json,218
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,state_machine.json,154
