mode,example,elapsed_ms
bidirectional+remove-redundant-parts,BGP_routing,10005
remove-redundant-sets,BGP_routing,10004
bidirectional+remove-redundant-sets,BGP_routing,10005
remove-redundant-parts+remove-redundant-sets,BGP_routing,10051
bidirectional+remove-redundant-parts+remove-redundant-sets,BGP_routing,10005
generate-less,BGP_routing,10034
bidirectional+generate-less,BGP_routing,10124
remove-redundant-parts+generate-less,BGP_routing,10125
bidirectional+remove-redundant-parts+generate-less,BGP_routing,10138
remove-redundant-sets+generate-less,BGP_routing,10177
bidirectional+remove-redundant-sets+generate-less,BGP_routing,10237
remove-redundant-parts+remove-redundant-sets+generate-less,BGP_routing,10212
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,BGP_routing,10051
smart-kleene-order,BGP_routing,10005
bidirectional+smart-kleene-order,BGP_routing,10005
remove-redundant-parts+smart-kleene-order,BGP_routing,10005
bidirectional+remove-redundant-parts+smart-kleene-order,BGP_routing,10004
remove-redundant-sets+smart-kleene-order,BGP_routing,10058
bidirectional+remove-redundant-sets+smart-kleene-order,BGP_routing,10005
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,BGP_routing,10004
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,BGP_routing,10005
generate-less+smart-kleene-order,BGP_routing,10060
bidirectional+generate-less+smart-kleene-order,BGP_routing,10103
remove-redundant-parts+generate-less+smart-kleene-order,BGP_routing,10034
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,BGP_routing,10257
remove-redundant-sets+generate-less+smart-kleene-order,BGP_routing,10131
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,BGP_routing,10030
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,BGP_routing,10108
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,BGP_routing,10100
regular,boolean_ops,101
bidirectional,boolean_ops,98
remove-redundant-parts,boolean_ops,99
bidirectional+remove-redundant-parts,boolean_ops,102
remove-redundant-sets,boolean_ops,98
bidirectional+remove-redundant-sets,boolean_ops,103
remove-redundant-parts+remove-redundant-sets,boolean_ops,105
bidirectional+remove-redundant-parts+remove-redundant-sets,boolean_ops,105
generate-less,boolean_ops,100
bidirectional+generate-less,boolean_ops,106
remove-redundant-parts+generate-less,boolean_ops,105
bidirectional+remove-redundant-parts+generate-less,boolean_ops,98
remove-redundant-sets+generate-less,boolean_ops,98
bidirectional+remove-redundant-sets+generate-less,boolean_ops,97
remove-redundant-parts+remove-redundant-sets+generate-less,boolean_ops,97
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,boolean_ops,96
smart-kleene-order,boolean_ops,100
bidirectional+smart-kleene-order,boolean_ops,102
remove-redundant-parts+smart-kleene-order,boolean_ops,102
bidirectional+remove-redundant-parts+smart-kleene-order,boolean_ops,104
remove-redundant-sets+smart-kleene-order,boolean_ops,105
bidirectional+remove-redundant-sets+smart-kleene-order,boolean_ops,101
remove-redundant-parts+remove-redundant-sets+smart-kleene-order,boolean_ops,100
bidirectional+remove-redundant-parts+remove-redundant-sets+smart-kleene-order,boolean_ops,97
generate-less+smart-kleene-order,boolean_ops,99
bidirectional+generate-less+smart-kleene-order,boolean_ops,105
remove-redundant-parts+generate-less+smart-kleene-order,boolean_ops,100
bidirectional+remove-redundant-parts+generate-less+smart-kleene-order,boolean_ops,106
remove-redundant-sets+generate-less+smart-kleene-order,boolean_ops,102
bidirectional+remove-redundant-sets+generate-less+smart-kleene-order,boolean_ops,102
remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,boolean_ops,102
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less+smart-kleene-order,boolean_ops,102
regular,complex_expr,105
bidirectional,complex_expr,99
remove-redundant-parts,complex_expr,95
bidirectional+remove-redundant-parts,complex_expr,99
remove-redundant-sets,complex_expr,100
bidirectional+remove-redundant-sets,complex_expr,96
remove-redundant-parts+remove-redundant-sets,complex_expr,97
bidirectional+remove-redundant-parts+remove-redundant-sets,complex_expr,96
generate-less,complex_expr,101
bidirectional+generate-less,complex_expr,100
remove-redundant-parts+generate-less,complex_expr,96
bidirectional+remove-redundant-parts+generate-less,complex_expr,90
remove-redundant-sets+generate-less,complex_expr,91
bidirectional+remove-redundant-sets+generate-less,complex_expr,91
remove-redundant-parts+remove-redundant-sets+generate-less,complex_expr,93
bidirectional+remove-redundant-parts+remove-redundant-sets+generate-less,complex_expr,111
smart-kleene-order,complex_expr,105
bidirectional+smart-kleene-order,complex_expr,105
remove-redundant-parts+smart-kleene-order,complex_expr,106
bidirectional+remove-redundant-parts+smart-kleene-order,complex_expr,110
remove-redundant-sets+smart-kleene-order,complex_expr,102
