mode,example,elapsed_ms
all-on,data_flow,108
without-bidirectional,data_flow,105
without-remove-redundant-parts,data_flow,106
without-bidirectional without-remove-redundant-parts,data_flow,107
without-remove-redundant-sets,data_flow,108
without-bidirectional without-remove-redundant-sets,data_flow,111
without-remove-redundant-parts without-remove-redundant-sets,data_flow,107
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,data_flow,108
without-generate-less,data_flow,110
without-bidirectional without-generate-less,data_flow,105
without-remove-redundant-parts without-generate-less,data_flow,112
without-bidirectional without-remove-redundant-parts without-generate-less,data_flow,107
without-remove-redundant-sets without-generate-less,data_flow,108
without-bidirectional without-remove-redundant-sets without-generate-less,data_flow,111
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,data_flow,107
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,data_flow,107
without-smart-kleene-order,data_flow,104
without-bidirectional without-smart-kleene-order,data_flow,106
without-remove-redundant-parts without-smart-kleene-order,data_flow,104
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,data_flow,104
without-remove-redundant-sets without-smart-kleene-order,data_flow,103
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,data_flow,106
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,data_flow,113
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,data_flow,112
without-generate-less without-smart-kleene-order,data_flow,110
without-bidirectional without-generate-less without-smart-kleene-order,data_flow,111
without-remove-redundant-parts without-generate-less without-smart-kleene-order,data_flow,114
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,data_flow,118
without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,112
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,111
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,108
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,105
all-on,login_flow,119
without-bidirectional,login_flow,130
without-remove-redundant-parts,login_flow,333
without-bidirectional without-remove-redundant-parts,login_flow,428
without-remove-redundant-sets,login_flow,112
without-bidirectional without-remove-redundant-sets,login_flow,125
without-remove-redundant-parts without-remove-redundant-sets,login_flow,160
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,login_flow,162
without-generate-less,login_flow,90
