mode,example,elapsed_ms
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,shopping_cart,144
without-remove-redundant-sets without-generate-less without-smart-kleene-order,shopping_cart,144
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,shopping_cart,142
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,shopping_cart,1777
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,shopping_cart,1561
all-on,snapshot_isolation_directly_as_NS_without_yields,107
without-bidirectional,snapshot_isolation_directly_as_NS_without_yields,108
without-remove-redundant-parts,snapshot_isolation_directly_as_NS_without_yields,112
without-bidirectional without-remove-redundant-parts,snapshot_isolation_directly_as_NS_without_yields,112
without-remove-redundant-sets,snapshot_isolation_directly_as_NS_without_yields,110
without-bidirectional without-remove-redundant-sets,snapshot_isolation_directly_as_NS_without_yields,107
without-remove-redundant-parts without-remove-redundant-sets,snapshot_isolation_directly_as_NS_without_yields,101
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,snapshot_isolation_directly_as_NS_without_yields,103
without-generate-less,snapshot_isolation_directly_as_NS_without_yields,105
without-bidirectional without-generate-less,snapshot_isolation_directly_as_NS_without_yields,110
without-remove-redundant-parts without-generate-less,snapshot_isolation_directly_as_NS_without_yields,107
without-bidirectional without-remove-redundant-parts without-generate-less,snapshot_isolation_directly_as_NS_without_yields,107
without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_without_yields,110
without-bidirectional without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_without_yields,107
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_without_yields,109
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_without_yields,109
without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,107
without-bidirectional without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,105
without-remove-redundant-parts without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,107
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,108
without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,112
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,111
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,114
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,108
without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,111
without-bidirectional without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,109
without-remove-redundant-parts without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,108
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,107
without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,108
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,108
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,103
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,105
all-on,snapshot_isolation_directly_as_NS_with_yields,111
without-bidirectional,snapshot_isolation_directly_as_NS_with_yields,117
without-remove-redundant-parts,snapshot_isolation_directly_as_NS_with_yields,121
without-bidirectional without-remove-redundant-parts,snapshot_isolation_directly_as_NS_with_yields,112
without-remove-redundant-sets,snapshot_isolation_directly_as_NS_with_yields,117
without-bidirectional without-remove-redundant-sets,snapshot_isolation_directly_as_NS_with_yields,118
without-remove-redundant-parts without-remove-redundant-sets,snapshot_isolation_directly_as_NS_with_yields,117
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,snapshot_isolation_directly_as_NS_with_yields,117
without-generate-less,snapshot_isolation_directly_as_NS_with_yields,119
without-bidirectional without-generate-less,snapshot_isolation_directly_as_NS_with_yields,121
without-remove-redundant-parts without-generate-less,snapshot_isolation_directly_as_NS_with_yields,121
without-bidirectional without-remove-redundant-parts without-generate-less,snapshot_isolation_directly_as_NS_with_yields,114
without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_with_yields,116
without-bidirectional without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_with_yields,113
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_with_yields,114
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_with_yields,113
without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,117
without-bidirectional without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,113
without-remove-redundant-parts without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,120
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,112
without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,113
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,112
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,120
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,116
without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,116
without-bidirectional without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,113
without-remove-redundant-parts without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,115
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,112
without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,118
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,113
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,115
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,113
all-on,state_machine,134
without-bidirectional,state_machine,121
without-remove-redundant-parts,state_machine,2794
without-bidirectional without-remove-redundant-parts,state_machine,1402
without-remove-redundant-sets,state_machine,128
