mode,example,elapsed_ms
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,bank_without_yields,71
without-remove-redundant-sets without-generate-less without-smart-kleene-order,bank_without_yields,70
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,bank_without_yields,71
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,bank_without_yields,73
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,bank_without_yields,69
all-on,BGP_routing,73
without-bidirectional,BGP_routing,69
without-remove-redundant-parts,BGP_routing,77
without-bidirectional without-remove-redundant-parts,BGP_routing,70
without-remove-redundant-sets,BGP_routing,77
without-bidirectional without-remove-redundant-sets,BGP_routing,77
without-remove-redundant-parts without-remove-redundant-sets,BGP_routing,74
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,BGP_routing,70
without-generate-less,BGP_routing,76
without-bidirectional without-generate-less,BGP_routing,73
without-remove-redundant-parts without-generate-less,BGP_routing,73
without-bidirectional without-remove-redundant-parts without-generate-less,BGP_routing,68
without-remove-redundant-sets without-generate-less,BGP_routing,71
without-bidirectional without-remove-redundant-sets without-generate-less,BGP_routing,70
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,BGP_routing,74
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,BGP_routing,67
without-smart-kleene-order,BGP_routing,76
without-bidirectional without-smart-kleene-order,BGP_routing,66
without-remove-redundant-parts without-smart-kleene-order,BGP_routing,70
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,BGP_routing,70
without-remove-redundant-sets without-smart-kleene-order,BGP_routing,72
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,BGP_routing,70
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,BGP_routing,76
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,BGP_routing,73
without-generate-less without-smart-kleene-order,BGP_routing,68
without-bidirectional without-generate-less without-smart-kleene-order,BGP_routing,74
without-remove-redundant-parts without-generate-less without-smart-kleene-order,BGP_routing,68
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,BGP_routing,72
without-remove-redundant-sets without-generate-less without-smart-kleene-order,BGP_routing,74
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,BGP_routing,71
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,BGP_routing,71
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,BGP_routing,70
all-on,boolean_ops,69
without-bidirectional,boolean_ops,72
