mode,example,elapsed_ms
without-remove-redundant-parts without-generate-less without-smart-kleene-order,bank_without_yields,1037
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,bank_without_yields,190
without-remove-redundant-sets without-generate-less without-smart-kleene-order,bank_without_yields,192
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,bank_without_yields,359
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,bank_without_yields,1021
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,bank_without_yields,192
all-on,BGP_routing,612
without-bidirectional,BGP_routing,589
without-remove-redundant-parts,BGP_routing,443
without-bidirectional without-remove-redundant-parts,BGP_routing,415
without-remove-redundant-sets,BGP_routing,620
without-bidirectional without-remove-redundant-sets,BGP_routing,587
without-remove-redundant-parts without-remove-redundant-sets,BGP_routing,481
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,BGP_routing,432
without-generate-less,BGP_routing,1032
without-bidirectional without-generate-less,BGP_routing,1012
without-remove-redundant-parts without-generate-less,BGP_routing,1012
without-bidirectional without-remove-redundant-parts without-generate-less,BGP_routing,1022
without-remove-redundant-sets without-generate-less,BGP_routing,1034
without-bidirectional without-remove-redundant-sets without-generate-less,BGP_routing,1039
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,BGP_routing,1032
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,BGP_routing,1010
without-smart-kleene-order,BGP_routing,617
without-bidirectional without-smart-kleene-order,BGP_routing,570
without-remove-redundant-parts without-smart-kleene-order,BGP_routing,456
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,BGP_routing,409
without-remove-redundant-sets without-smart-kleene-order,BGP_routing,617
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,BGP_routing,569
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,BGP_routing,467
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,BGP_routing,411
without-generate-less without-smart-kleene-order,BGP_routing,1032
without-bidirectional without-generate-less without-smart-kleene-order,BGP_routing,1036
without-remove-redundant-parts without-generate-less without-smart-kleene-order,BGP_routing,1032
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,BGP_routing,1033
without-remove-redundant-sets without-generate-less without-smart-kleene-order,BGP_routing,1043
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,BGP_routing,1032
