mode,example,elapsed_ms
all-on,data_flow,116
without-bidirectional,data_flow,110
without-remove-redundant-parts,data_flow,116
without-bidirectional without-remove-redundant-parts,data_flow,115
without-remove-redundant-sets,data_flow,113
without-bidirectional without-remove-redundant-sets,data_flow,113
without-remove-redundant-parts without-remove-redundant-sets,data_flow,114
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,data_flow,110
without-generate-less,data_flow,109
without-bidirectional without-generate-less,data_flow,112
without-remove-redundant-parts without-generate-less,data_flow,114
without-bidirectional without-remove-redundant-parts without-generate-less,data_flow,109
without-remove-redundant-sets without-generate-less,data_flow,112
without-bidirectional without-remove-redundant-sets without-generate-less,data_flow,118
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,data_flow,119
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,data_flow,117
without-smart-kleene-order,data_flow,134
without-bidirectional without-smart-kleene-order,data_flow,117
without-remove-redundant-parts without-smart-kleene-order,data_flow,118
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,data_flow,111
without-remove-redundant-sets without-smart-kleene-order,data_flow,116
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,data_flow,116
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,data_flow,111
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,data_flow,116
without-generate-less without-smart-kleene-order,data_flow,112
without-bidirectional without-generate-less without-smart-kleene-order,data_flow,110
without-remove-redundant-parts without-generate-less without-smart-kleene-order,data_flow,118
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,data_flow,118
without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,116
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,118
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,115
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,116
all-on,login_flow,130
without-bidirectional,login_flow,129
without-remove-redundant-parts,login_flow,197
without-bidirectional without-remove-redundant-parts,login_flow,601
without-remove-redundant-sets,login_flow,126
without-bidirectional without-remove-redundant-sets,login_flow,125
without-remove-redundant-parts without-remove-redundant-sets,login_flow,165
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,login_flow,282
without-generate-less,login_flow,87
without-bidirectional without-generate-less,login_flow,92
without-remove-redundant-parts without-generate-less,login_flow,91
without-bidirectional without-remove-redundant-parts without-generate-less,login_flow,93
without-remove-redundant-sets without-generate-less,login_flow,95
without-bidirectional without-remove-redundant-sets without-generate-less,login_flow,96
