mode,example,elapsed_ms
all-on,arithmetic,171
without-bidirectional,arithmetic,84
without-remove-redundant-parts,arithmetic,85
without-bidirectional without-remove-redundant-parts,arithmetic,84
without-remove-redundant-sets,arithmetic,83
without-bidirectional without-remove-redundant-sets,arithmetic,81
without-remove-redundant-parts without-remove-redundant-sets,arithmetic,86
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,arithmetic,79
without-generate-less,arithmetic,85
without-bidirectional without-generate-less,arithmetic,80
without-remove-redundant-parts without-generate-less,arithmetic,84
without-bidirectional without-remove-redundant-parts without-generate-less,arithmetic,82
without-remove-redundant-sets without-generate-less,arithmetic,86
without-bidirectional without-remove-redundant-sets without-generate-less,arithmetic,85
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,arithmetic,81
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,arithmetic,81
without-smart-kleene-order,arithmetic,86
without-bidirectional without-smart-kleene-order,arithmetic,80
without-remove-redundant-parts without-smart-kleene-order,arithmetic,85
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,arithmetic,84
without-remove-redundant-sets without-smart-kleene-order,arithmetic,84
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,arithmetic,86
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,arithmetic,82
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,arithmetic,82
without-generate-less without-smart-kleene-order,arithmetic,85
without-bidirectional without-generate-less without-smart-kleene-order,arithmetic,80
without-remove-redundant-parts without-generate-less without-smart-kleene-order,arithmetic,82
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,arithmetic,80
without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,85
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,84
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,83
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,85
all-on,bank,3013
without-bidirectional,bank,3016
without-remove-redundant-parts,bank,3003
without-bidirectional without-remove-redundant-parts,bank,3003
without-remove-redundant-sets,bank,3004
without-bidirectional without-remove-redundant-sets,bank,2960
without-remove-redundant-parts without-remove-redundant-sets,bank,2826
