bidirectional_pruning ON,remove_redundant ON,generate_less ON,smart_order ON,benchmark,index,stage,num_places,num_transitions
1,1,1,1,fred_arith_simplified_until_2,10,pre_pruning,19,20
1,1,1,1,fred_arith_simplified_until_2,10,post_pruning,13,10
1,1,1,1,incrdecr,2,pre_pruning,21,22
1,1,1,1,incrdecr,2,post_pruning,13,10
1,1,1,1,fred_arith_simplified_until_2,11,pre_pruning,19,20
1,1,1,1,fred_arith_simplified_until_2,11,post_pruning,13,10
1,1,1,1,less_simple_ser,6,pre_pruning,30,39
1,1,1,1,less_simple_ser,6,post_pruning,4,3
1,1,1,1,incrdecr,3,pre_pruning,21,22
1,1,1,1,incrdecr,3,post_pruning,13,10
1,1,1,1,fred_arith_simplified_until_2,12,pre_pruning,19,20
1,1,1,1,fred_arith_simplified_until_2,12,post_pruning,13,10
1,1,1,1,less_simple_ser,7,pre_pruning,30,39
1,1,1,1,less_simple_ser,7,post_pruning,4,3
1,1,1,1,fred_arith,0,pre_pruning,24,26
1,1,1,1,fred_arith,0,post_pruning,18,14
1,1,1,1,incrdecr,4,pre_pruning,21,22
1,1,1,1,incrdecr,4,post_pruning,1,0
1,1,1,1,less_simple_ser,8,pre_pruning,30,39
1,1,1,1,less_simple_ser,8,post_pruning,4,3
1,1,1,1,fred_arith,1,pre_pruning,24,26
1,1,1,1,fred_arith,1,post_pruning,18,14
1,1,1,1,incrdecr,5,pre_pruning,21,22
1,1,1,1,incrdecr,5,post_pruning,13,10
1,1,1,1,fred_arith,2,pre_pruning,24,26
1,1,1,1,fred_arith,2,post_pruning,18,14
1,1,1,1,incrdecr,6,pre_pruning,21,22
1,1,1,1,incrdecr,6,post_pruning,13,10
1,1,1,1,fred_arith,3,pre_pruning,24,26
1,1,1,1,fred_arith,3,post_pruning,18,14
1,1,1,1,incrdecr,7,pre_pruning,21,22
1,1,1,1,incrdecr,7,post_pruning,13,10
1,1,1,1,fred_arith,4,pre_pruning,24,26
1,1,1,1,fred_arith,4,post_pruning,18,14
1,1,1,1,incrdecr,8,pre_pruning,21,22
1,1,1,1,incrdecr,8,post_pruning,13,10
1,1,1,1,fred_arith,5,pre_pruning,24,26
1,1,1,1,fred_arith,5,post_pruning,1,0
1,1,1,1,modulo,0,pre_pruning,10,10
1,1,1,1,modulo,0,post_pruning,7,5
1,1,1,1,incrdecr,9,pre_pruning,21,22
1,1,1,1,incrdecr,9,post_pruning,13,10
1,1,1,1,fred_arith,6,pre_pruning,24,26
1,1,1,1,fred_arith,6,post_pruning,1,0
1,1,1,1,nondet,0,pre_pruning,10,15
1,1,1,1,nondet,0,post_pruning,1,0
1,1,1,1,modulo,1,pre_pruning,10,10
1,1,1,1,modulo,1,post_pruning,10,10
1,1,1,1,incrdecr,10,pre_pruning,21,22
1,1,1,1,incrdecr,10,post_pruning,13,10
1,1,1,1,fred_arith,7,pre_pruning,24,26
1,1,1,1,fred_arith,7,post_pruning,8,6
1,1,1,1,modulo,2,pre_pruning,10,10
1,1,1,1,modulo,2,post_pruning,7,5
1,1,1,1,incrdecr,11,pre_pruning,21,22
1,1,1,1,incrdecr,11,post_pruning,13,10
1,1,1,1,fred_arith,8,pre_pruning,24,26
1,1,1,1,fred_arith,8,post_pruning,18,14
1,1,1,1,modulo,3,pre_pruning,10,10
1,1,1,1,modulo,3,post_pruning,10,10
1,1,1,1,incrdecr,12,pre_pruning,21,22
1,1,1,1,incrdecr,12,post_pruning,13,10
1,1,1,1,fred_arith,9,pre_pruning,24,26
1,1,1,1,fred_arith,9,post_pruning,18,14
1,1,1,1,modulo,4,pre_pruning,10,10
1,1,1,1,modulo,4,post_pruning,10,10
1,1,1,1,fred_arith,10,pre_pruning,24,26
1,1,1,1,fred_arith,10,post_pruning,18,14
1,1,1,1,modulo,5,pre_pruning,10,10
1,1,1,1,modulo,5,post_pruning,10,10
1,1,1,1,fred_arith,11,pre_pruning,24,26
1,1,1,1,fred_arith,11,post_pruning,5,3
1,1,1,1,modulo,6,pre_pruning,10,10
1,1,1,1,modulo,6,post_pruning,5,3
1,1,1,1,fred_arith,12,pre_pruning,24,26
1,1,1,1,fred_arith,12,post_pruning,8,6
1,1,1,1,modulo,7,pre_pruning,10,10
1,1,1,1,modulo,7,post_pruning,7,5
1,1,1,1,fred_arith,13,pre_pruning,24,26
1,1,1,1,fred_arith,13,post_pruning,18,14
1,1,1,1,modulo,8,pre_pruning,10,10
1,1,1,1,modulo,8,post_pruning,7,5
1,1,1,1,nondet_impl,0,pre_pruning,24,26
1,1,1,1,nondet_impl,0,post_pruning,17,16
1,1,1,1,fred_arith,14,pre_pruning,24,26
1,1,1,1,fred_arith,14,post_pruning,18,14
1,1,1,1,modulo,9,pre_pruning,10,10
1,1,1,1,modulo,9,post_pruning,8,7
1,1,1,1,fred_arith,15,pre_pruning,24,26
1,1,1,1,fred_arith,15,post_pruning,18,14
1,1,1,1,modulo,10,pre_pruning,10,10
1,1,1,1,modulo,10,post_pruning,10,10
1,1,1,1,fred_arith,16,pre_pruning,24,26
1,1,1,1,fred_arith,16,post_pruning,18,14
1,1,1,1,modulo,11,pre_pruning,10,10
1,1,1,1,modulo,11,post_pruning,10,10
1,1,1,1,fred_arith,17,pre_pruning,24,26
1,1,1,1,fred_arith,17,post_pruning,18,14
1,1,1,1,modulo,12,pre_pruning,10,10
1,1,1,1,modulo,12,post_pruning,10,10
1,1,1,1,fred_arith,18,pre_pruning,24,26
1,1,1,1,fred_arith,18,post_pruning,18,14
1,1,1,1,modulo,13,pre_pruning,10,10
1,1,1,1,modulo,13,post_pruning,8,7
1,1,1,1,fred_arith,19,pre_pruning,24,26
1,1,1,1,fred_arith,19,post_pruning,18,14
1,1,1,1,modulo,14,pre_pruning,10,10
1,1,1,1,modulo,14,post_pruning,10,10
1,1,1,1,fred_arith,20,pre_pruning,24,26
1,1,1,1,modulo,15,pre_pruning,10,10
1,1,1,1,fred_arith,20,post_pruning,18,14
1,1,1,1,modulo,15,post_pruning,10,10
1,1,1,1,modulo,16,pre_pruning,10,10
1,1,1,1,modulo,16,post_pruning,10,10
1,1,1,1,fred_arith,21,pre_pruning,24,26
1,1,1,1,fred_arith,21,post_pruning,18,14
1,1,1,1,nondet_impl2,0,pre_pruning,24,26
1,1,1,1,nondet_impl2,0,post_pruning,5,4
1,1,1,1,fred_arith,22,pre_pruning,24,26
1,1,1,1,fred_arith,22,post_pruning,18,14
1,1,1,1,nondet_impl2,1,pre_pruning,24,26
1,1,1,1,modulo,17,pre_pruning,10,10
1,1,1,1,modulo,17,post_pruning,8,7
1,1,1,1,nondet_impl2,1,post_pruning,5,4
1,1,1,1,modulo,18,pre_pruning,10,10
1,1,1,1,nondet_impl2,2,pre_pruning,24,26
1,1,1,1,fred_arith,23,pre_pruning,24,26
1,1,1,1,modulo,18,post_pruning,8,7
1,1,1,1,nondet_impl2,2,post_pruning,5,4
1,1,1,1,fred_arith,23,post_pruning,18,14
1,1,1,1,modulo,19,pre_pruning,10,10
1,1,1,1,modulo,19,post_pruning,10,10
1,1,1,1,nondet_impl2,3,pre_pruning,24,26
1,1,1,1,nondet_impl2,3,post_pruning,5,4
1,1,1,1,fred_arith,24,pre_pruning,24,26
1,1,1,1,fred_arith,24,post_pruning,18,14
1,1,1,1,modulo,20,pre_pruning,10,10
1,1,1,1,modulo,20,post_pruning,10,10
1,1,1,1,nondet_impl2,4,pre_pruning,24,26
1,1,1,1,nondet_impl2,4,post_pruning,5,4
1,1,1,1,nondet2,0,pre_pruning,12,24
1,1,1,1,nondet2,0,post_pruning,12,22
1,1,1,1,BGP_routing,0,pre_pruning,101,159
1,1,1,1,BGP_routing,0,post_pruning,39,55
1,1,1,1,BGP_routing,1,pre_pruning,101,159
1,1,1,1,BGP_routing,1,post_pruning,39,55
1,1,1,1,simple_nonser2,0,pre_pruning,8,7
1,1,1,1,simple_nonser2,0,post_pruning,8,7
1,1,1,1,simple_nonser,0,pre_pruning,16,18
1,1,1,1,simple_nonser,0,post_pruning,11,11
1,1,1,1,simple_nonser,1,pre_pruning,16,18
1,1,1,1,simple_nonser,1,post_pruning,11,11
1,1,1,1,simple_nonser2_turned_ser_with_locks,0,pre_pruning,8,7
1,1,1,1,simple_nonser2_turned_ser_with_locks,0,post_pruning,8,6
1,1,1,1,simple_nonser3,0,pre_pruning,8,9
1,1,1,1,simple_nonser3,0,post_pruning,8,9
1,1,1,1,snapshot_isolation_network_monitoring_without_yields,0,pre_pruning,26,34
1,1,1,1,snapshot_isolation_network_monitoring_without_yields,0,post_pruning,16,17
