bidirectional ON,remove-redundant-parts ON,remove-redundant-sets ON,generate-less ON,smart-kleene-order ON,benchmark,type,timeout_ms,time_ms,terminated
1,0,0,1,0,BGP_routing,ser,30000,533,1
0,0,0,1,0,BGP_routing,ser,30000,501,1
1,1,1,0,0,BGP_routing,ser,30000,30040,0
0,1,1,0,0,BGP_routing,ser,30000,30057,0
1,0,1,0,0,BGP_routing,ser,30000,30250,0
0,0,1,0,0,BGP_routing,ser,30000,30038,0
1,1,0,0,0,BGP_routing,ser,30000,30066,0
0,1,0,0,0,BGP_routing,ser,30000,30226,0
1,0,0,0,0,BGP_routing,ser,30000,30278,0
0,0,0,0,0,BGP_routing,ser,30000,30034,0
1,1,1,1,1,boolean_ops,ser,30000,113,1
0,1,1,1,1,boolean_ops,ser,30000,111,1
1,0,1,1,1,boolean_ops,ser,30000,127,1
0,0,1,1,1,boolean_ops,ser,30000,123,1
1,1,0,1,1,boolean_ops,ser,30000,101,1
0,1,0,1,1,boolean_ops,ser,30000,104,1
1,0,0,1,1,boolean_ops,ser,30000,101,1
0,0,0,1,1,boolean_ops,ser,30000,105,1
1,1,1,0,1,boolean_ops,ser,30000,98,1
0,1,1,0,1,boolean_ops,ser,30000,102,1
1,0,1,0,1,boolean_ops,ser,30000,96,1
0,0,1,0,1,boolean_ops,ser,30000,101,1
1,1,0,0,1,boolean_ops,ser,30000,96,1
0,1,0,0,1,boolean_ops,ser,30000,97,1
1,0,0,0,1,boolean_ops,ser,30000,91,1
0,0,0,0,1,boolean_ops,ser,30000,96,1
1,1,1,1,0,boolean_ops,ser,30000,96,1
0,1,1,1,0,boolean_ops,ser,30000,101,1
1,0,1,1,0,boolean_ops,ser,30000,101,1
0,0,1,1,0,boolean_ops,ser,30000,96,1
1,1,0,1,0,boolean_ops,ser,30000,99,1
0,1,0,1,0,boolean_ops,ser,30000,93,1
1,0,0,1,0,boolean_ops,ser,30000,92,1
0,0,0,1,0,boolean_ops,ser,30000,94,1
1,1,1,0,0,boolean_ops,ser,30000,113,1
0,1,1,0,0,boolean_ops,ser,30000,107,1
1,0,1,0,0,boolean_ops,ser,30000,101,1
0,0,1,0,0,boolean_ops,ser,30000,102,1
1,1,0,0,0,boolean_ops,ser,30000,104,1
0,1,0,0,0,boolean_ops,ser,30000,110,1
1,0,0,0,0,boolean_ops,ser,30000,124,1
0,0,0,0,0,boolean_ops,ser,30000,122,1
1,1,1,1,1,complex_expr,ser,30000,111,1
0,1,1,1,1,complex_expr,ser,30000,116,1
1,0,1,1,1,complex_expr,ser,30000,118,1
0,0,1,1,1,complex_expr,ser,30000,117,1
1,1,0,1,1,complex_expr,ser,30000,107,1
0,1,0,1,1,complex_expr,ser,30000,130,1
1,0,0,1,1,complex_expr,ser,30000,120,1
0,0,0,1,1,complex_expr,ser,30000,111,1
1,1,1,0,1,complex_expr,ser,30000,122,1
0,1,1,0,1,complex_expr,ser,30000,106,1
1,0,1,0,1,complex_expr,ser,30000,102,1
0,0,1,0,1,complex_expr,ser,30000,95,1
1,1,0,0,1,complex_expr,ser,30000,100,1
0,1,0,0,1,complex_expr,ser,30000,98,1
1,0,0,0,1,complex_expr,ser,30000,104,1
0,0,0,0,1,complex_expr,ser,30000,114,1
1,1,1,1,0,complex_expr,ser,30000,95,1
0,1,1,1,0,complex_expr,ser,30000,100,1
1,0,1,1,0,complex_expr,ser,30000,102,1
0,0,1,1,0,complex_expr,ser,30000,107,1
1,1,0,1,0,complex_expr,ser,30000,138,1
0,1,0,1,0,complex_expr,ser,30000,117,1
1,0,0,1,0,complex_expr,ser,30000,118,1
0,0,0,1,0,complex_expr,ser,30000,128,1
1,1,1,0,0,complex_expr,ser,30000,118,1
0,1,1,0,0,complex_expr,ser,30000,102,1
1,0,1,0,0,complex_expr,ser,30000,105,1
0,0,1,0,0,complex_expr,ser,30000,103,1
1,1,0,0,0,complex_expr,ser,30000,97,1
0,1,0,0,0,complex_expr,ser,30000,98,1
1,0,0,0,0,complex_expr,ser,30000,102,1
0,0,0,0,0,complex_expr,ser,30000,104,1
1,1,1,1,1,complex_while_with_yields,ser,30000,204,1
0,1,1,1,1,complex_while_with_yields,ser,30000,193,1
1,0,1,1,1,complex_while_with_yields,ser,30000,175,1
0,0,1,1,1,complex_while_with_yields,ser,30000,162,1
1,1,0,1,1,complex_while_with_yields,ser,30000,188,1
0,1,0,1,1,complex_while_with_yields,ser,30000,184,1
1,0,0,1,1,complex_while_with_yields,ser,30000,205,1
0,0,0,1,1,complex_while_with_yields,ser,30000,175,1
1,1,1,0,1,complex_while_with_yields,ser,30000,193,1
0,1,1,0,1,complex_while_with_yields,ser,30000,187,1
1,0,1,0,1,complex_while_with_yields,ser,30000,177,1
0,0,1,0,1,complex_while_with_yields,ser,30000,181,1
1,1,0,0,1,complex_while_with_yields,ser,30000,195,1
0,1,0,0,1,complex_while_with_yields,ser,30000,203,1
1,0,0,0,1,complex_while_with_yields,ser,30000,168,1
0,0,0,0,1,complex_while_with_yields,ser,30000,168,1
1,1,1,1,0,complex_while_with_yields,ser,30000,209,1
0,1,1,1,0,complex_while_with_yields,ser,30000,180,1
1,0,1,1,0,complex_while_with_yields,ser,30000,181,1
0,0,1,1,0,complex_while_with_yields,ser,30000,179,1
1,1,0,1,0,complex_while_with_yields,ser,30000,186,1
0,1,0,1,0,complex_while_with_yields,ser,30000,176,1
1,0,0,1,0,complex_while_with_yields,ser,30000,171,1
0,0,0,1,0,complex_while_with_yields,ser,30000,168,1
1,1,1,0,0,complex_while_with_yields,ser,30000,189,1
0,1,1,0,0,complex_while_with_yields,ser,30000,177,1
1,0,1,0,0,complex_while_with_yields,ser,30000,166,1
0,0,1,0,0,complex_while_with_yields,ser,30000,169,1
1,1,0,0,0,complex_while_with_yields,ser,30000,178,1
0,1,0,0,0,complex_while_with_yields,ser,30000,180,1
1,0,0,0,0,complex_while_with_yields,ser,30000,171,1
0,0,0,0,0,complex_while_with_yields,ser,30000,167,1
1,1,1,1,1,equality_check,ser,30000,92,1
0,1,1,1,1,equality_check,ser,30000,94,1
1,0,1,1,1,equality_check,ser,30000,92,1
0,0,1,1,1,equality_check,ser,30000,90,1
1,1,0,1,1,equality_check,ser,30000,90,1
0,1,0,1,1,equality_check,ser,30000,93,1
1,0,0,1,1,equality_check,ser,30000,101,1
0,0,0,1,1,equality_check,ser,30000,99,1
1,1,1,0,1,equality_check,ser,30000,92,1
0,1,1,0,1,equality_check,ser,30000,94,1
1,0,1,0,1,equality_check,ser,30000,93,1
0,0,1,0,1,equality_check,ser,30000,92,1
1,1,0,0,1,equality_check,ser,30000,89,1
0,1,0,0,1,equality_check,ser,30000,89,1
1,0,0,0,1,equality_check,ser,30000,90,1
0,0,0,0,1,equality_check,ser,30000,90,1
1,1,1,1,0,equality_check,ser,30000,94,1
0,1,1,1,0,equality_check,ser,30000,99,1
1,0,1,1,0,equality_check,ser,30000,102,1
0,0,1,1,0,equality_check,ser,30000,93,1
1,1,0,1,0,equality_check,ser,30000,97,1
0,1,0,1,0,equality_check,ser,30000,105,1
1,0,0,1,0,equality_check,ser,30000,98,1
0,0,0,1,0,equality_check,ser,30000,91,1
1,1,1,0,0,equality_check,ser,30000,98,1
0,1,1,0,0,equality_check,ser,30000,93,1
1,0,1,0,0,equality_check,ser,30000,87,1
0,0,1,0,0,equality_check,ser,30000,94,1
1,1,0,0,0,equality_check,ser,30000,92,1
0,1,0,0,0,equality_check,ser,30000,95,1
1,0,0,0,0,equality_check,ser,30000,97,1
0,0,0,0,0,equality_check,ser,30000,102,1
1,1,1,1,1,ex,ser,30000,112,1
0,1,1,1,1,ex,ser,30000,117,1
1,0,1,1,1,ex,ser,30000,125,1
0,0,1,1,1,ex,ser,30000,120,1
1,1,0,1,1,ex,ser,30000,113,1
0,1,0,1,1,ex,ser,30000,113,1
1,0,0,1,1,ex,ser,30000,122,1
0,0,0,1,1,ex,ser,30000,121,1
1,1,1,0,1,ex,ser,30000,143,1
0,1,1,0,1,ex,ser,30000,137,1
1,0,1,0,1,ex,ser,30000,136,1
0,0,1,0,1,ex,ser,30000,119,1
1,1,0,0,1,ex,ser,30000,121,1
0,1,0,0,1,ex,ser,30000,113,1
1,0,0,0,1,ex,ser,30000,117,1
0,0,0,0,1,ex,ser,30000,125,1
1,1,1,1,0,ex,ser,30000,144,1
0,1,1,1,0,ex,ser,30000,161,1
1,0,1,1,0,ex,ser,30000,170,1
0,0,1,1,0,ex,ser,30000,142,1
1,1,0,1,0,ex,ser,30000,132,1
0,1,0,1,0,ex,ser,30000,139,1
1,0,0,1,0,ex,ser,30000,133,1
0,0,0,1,0,ex,ser,30000,122,1
1,1,1,0,0,ex,ser,30000,111,1
0,1,1,0,0,ex,ser,30000,132,1
1,0,1,0,0,ex,ser,30000,118,1
0,0,1,0,0,ex,ser,30000,118,1
1,1,0,0,0,ex,ser,30000,117,1
0,1,0,0,0,ex,ser,30000,115,1
1,0,0,0,0,ex,ser,30000,109,1
0,0,0,0,0,ex,ser,30000,108,1
1,1,1,1,1,flag_non_ser,ser,30000,112,1
0,1,1,1,1,flag_non_ser,ser,30000,115,1
1,0,1,1,1,flag_non_ser,ser,30000,124,1
0,0,1,1,1,flag_non_ser,ser,30000,131,1
1,1,0,1,1,flag_non_ser,ser,30000,130,1
0,1,0,1,1,flag_non_ser,ser,30000,115,1
1,0,0,1,1,flag_non_ser,ser,30000,120,1
0,0,0,1,1,flag_non_ser,ser,30000,117,1
1,1,1,0,1,flag_non_ser,ser,30000,115,1
0,1,1,0,1,flag_non_ser,ser,30000,119,1
1,0,1,0,1,flag_non_ser,ser,30000,110,1
0,0,1,0,1,flag_non_ser,ser,30000,108,1
1,1,0,0,1,flag_non_ser,ser,30000,116,1
0,1,0,0,1,flag_non_ser,ser,30000,122,1
1,0,0,0,1,flag_non_ser,ser,30000,120,1
0,0,0,0,1,flag_non_ser,ser,30000,112,1
1,1,1,1,0,flag_non_ser,ser,30000,118,1
0,1,1,1,0,flag_non_ser,ser,30000,124,1
1,0,1,1,0,flag_non_ser,ser,30000,113,1
0,0,1,1,0,flag_non_ser,ser,30000,113,1
1,1,0,1,0,flag_non_ser,ser,30000,117,1
0,1,0,1,0,flag_non_ser,ser,30000,120,1
1,0,0,1,0,flag_non_ser,ser,30000,116,1
0,0,0,1,0,flag_non_ser,ser,30000,117,1
1,1,1,0,0,flag_non_ser,ser,30000,110,1
0,1,1,0,0,flag_non_ser,ser,30000,114,1
1,0,1,0,0,flag_non_ser,ser,30000,110,1
0,0,1,0,0,flag_non_ser,ser,30000,122,1
1,1,0,0,0,flag_non_ser,ser,30000,125,1
0,1,0,0,0,flag_non_ser,ser,30000,120,1
1,0,0,0,0,flag_non_ser,ser,30000,111,1
0,0,0,0,0,flag_non_ser,ser,30000,129,1
1,1,1,1,1,flag_non_ser_turned_ser,ser,30000,108,1
0,1,1,1,1,flag_non_ser_turned_ser,ser,30000,95,1
1,0,1,1,1,flag_non_ser_turned_ser,ser,30000,100,1
0,0,1,1,1,flag_non_ser_turned_ser,ser,30000,98,1
1,1,0,1,1,flag_non_ser_turned_ser,ser,30000,99,1
0,1,0,1,1,flag_non_ser_turned_ser,ser,30000,95,1
1,0,0,1,1,flag_non_ser_turned_ser,ser,30000,95,1
0,0,0,1,1,flag_non_ser_turned_ser,ser,30000,93,1
1,1,1,0,1,flag_non_ser_turned_ser,ser,30000,97,1
0,1,1,0,1,flag_non_ser_turned_ser,ser,30000,98,1
1,0,1,0,1,flag_non_ser_turned_ser,ser,30000,97,1
0,0,1,0,1,flag_non_ser_turned_ser,ser,30000,97,1
1,1,0,0,1,flag_non_ser_turned_ser,ser,30000,97,1
0,1,0,0,1,flag_non_ser_turned_ser,ser,30000,103,1
1,0,0,0,1,flag_non_ser_turned_ser,ser,30000,105,1
0,0,0,0,1,flag_non_ser_turned_ser,ser,30000,113,1
1,1,1,1,0,flag_non_ser_turned_ser,ser,30000,102,1
0,1,1,1,0,flag_non_ser_turned_ser,ser,30000,98,1
1,0,1,1,0,flag_non_ser_turned_ser,ser,30000,100,1
0,0,1,1,0,flag_non_ser_turned_ser,ser,30000,99,1
1,1,0,1,0,flag_non_ser_turned_ser,ser,30000,104,1
0,1,0,1,0,flag_non_ser_turned_ser,ser,30000,97,1
1,0,0,1,0,flag_non_ser_turned_ser,ser,30000,97,1
0,0,0,1,0,flag_non_ser_turned_ser,ser,30000,97,1
1,1,1,0,0,flag_non_ser_turned_ser,ser,30000,97,1
0,1,1,0,0,flag_non_ser_turned_ser,ser,30000,101,1
1,0,1,0,0,flag_non_ser_turned_ser,ser,30000,97,1
0,0,1,0,0,flag_non_ser_turned_ser,ser,30000,99,1
1,1,0,0,0,flag_non_ser_turned_ser,ser,30000,98,1
0,1,0,0,0,flag_non_ser_turned_ser,ser,30000,101,1
1,0,0,0,0,flag_non_ser_turned_ser,ser,30000,100,1
0,0,0,0,0,flag_non_ser_turned_ser,ser,30000,96,1
1,1,1,1,1,fred2_arith,ser,30000,224,1
0,1,1,1,1,fred2_arith,ser,30000,219,1
1,0,1,1,1,fred2_arith,ser,30000,219,1
0,0,1,1,1,fred2_arith,ser,30000,204,1
1,1,0,1,1,fred2_arith,ser,30000,229,1
0,1,0,1,1,fred2_arith,ser,30000,210,1
1,0,0,1,1,fred2_arith,ser,30000,208,1
0,0,0,1,1,fred2_arith,ser,30000,210,1
1,1,1,0,1,fred2_arith,ser,30000,520,1
0,1,1,0,1,fred2_arith,ser,30000,543,1
1,0,1,0,1,fred2_arith,ser,30000,519,1
0,0,1,0,1,fred2_arith,ser,30000,501,1
1,1,0,0,1,fred2_arith,ser,30000,540,1
0,1,0,0,1,fred2_arith,ser,30000,515,1
1,0,0,0,1,fred2_arith,ser,30000,499,1
0,0,0,0,1,fred2_arith,ser,30000,504,1
1,1,1,1,0,fred2_arith,ser,30000,211,1
0,1,1,1,0,fred2_arith,ser,30000,251,1
1,0,1,1,0,fred2_arith,ser,30000,234,1
0,0,1,1,0,fred2_arith,ser,30000,209,1
1,1,0,1,0,fred2_arith,ser,30000,235,1
0,1,0,1,0,fred2_arith,ser,30000,268,1
1,0,0,1,0,fred2_arith,ser,30000,226,1
0,0,0,1,0,fred2_arith,ser,30000,198,1
1,1,1,0,0,fred2_arith,ser,30000,30773,0
0,1,1,0,0,fred2_arith,ser,30000,143,1
1,0,1,0,0,fred2_arith,ser,30000,31006,0
0,0,1,0,0,fred2_arith,ser,30000,3598,1
1,1,0,0,0,fred2_arith,ser,30000,347,1
0,1,0,0,0,fred2_arith,ser,30000,142,1
1,0,0,0,0,fred2_arith,ser,30000,255,1
0,0,0,0,0,fred2_arith,ser,30000,147,1
1,1,1,1,1,fred2,ser,30000,229,1
0,1,1,1,1,fred2,ser,30000,223,1
1,0,1,1,1,fred2,ser,30000,212,1
0,0,1,1,1,fred2,ser,30000,204,1
1,1,0,1,1,fred2,ser,30000,221,1
0,1,0,1,1,fred2,ser,30000,209,1
1,0,0,1,1,fred2,ser,30000,205,1
0,0,0,1,1,fred2,ser,30000,204,1
1,1,1,0,1,fred2,ser,30000,511,1
0,1,1,0,1,fred2,ser,30000,500,1
1,0,1,0,1,fred2,ser,30000,502,1
0,0,1,0,1,fred2,ser,30000,494,1
1,1,0,0,1,fred2,ser,30000,504,1
0,1,0,0,1,fred2,ser,30000,492,1
1,0,0,0,1,fred2,ser,30000,508,1
0,0,0,0,1,fred2,ser,30000,492,1
1,1,1,1,0,fred2,ser,30000,237,1
0,1,1,1,0,fred2,ser,30000,204,1
1,0,1,1,0,fred2,ser,30000,227,1
0,0,1,1,0,fred2,ser,30000,222,1
1,1,0,1,0,fred2,ser,30000,218,1
0,1,0,1,0,fred2,ser,30000,216,1
1,0,0,1,0,fred2,ser,30000,205,1
0,0,0,1,0,fred2,ser,30000,191,1
1,1,1,0,0,fred2,ser,30000,30806,0
0,1,1,0,0,fred2,ser,30000,30986,0
1,0,1,0,0,fred2,ser,30000,30477,0
0,0,1,0,0,fred2,ser,30000,391,1
1,1,0,0,0,fred2,ser,30000,364,1
0,1,0,0,0,fred2,ser,30000,140,1
1,0,0,0,0,fred2,ser,30000,31014,0
0,0,0,0,0,fred2,ser,30000,350,1
1,1,1,1,1,fred_arith,ser,30000,142,1
0,1,1,1,1,fred_arith,ser,30000,141,1
1,0,1,1,1,fred_arith,ser,30000,132,1
0,0,1,1,1,fred_arith,ser,30000,136,1
1,1,0,1,1,fred_arith,ser,30000,140,1
0,1,0,1,1,fred_arith,ser,30000,135,1
1,0,0,1,1,fred_arith,ser,30000,134,1
0,0,0,1,1,fred_arith,ser,30000,133,1
1,1,1,0,1,fred_arith,ser,30000,435,1
0,1,1,0,1,fred_arith,ser,30000,435,1
1,0,1,0,1,fred_arith,ser,30000,415,1
0,0,1,0,1,fred_arith,ser,30000,407,1
