mode,example,elapsed_ms
all-on,arithmetic,89
without-bidirectional,arithmetic,88
without-remove-redundant-parts,arithmetic,87
without-bidirectional without-remove-redundant-parts,arithmetic,88
without-remove-redundant-sets,arithmetic,86
without-bidirectional without-remove-redundant-sets,arithmetic,89
without-remove-redundant-parts without-remove-redundant-sets,arithmetic,87
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,arithmetic,88
without-generate-less,arithmetic,86
without-bidirectional without-generate-less,arithmetic,90
without-remove-redundant-parts without-generate-less,arithmetic,88
without-bidirectional without-remove-redundant-parts without-generate-less,arithmetic,86
without-remove-redundant-sets without-generate-less,arithmetic,87
without-bidirectional without-remove-redundant-sets without-generate-less,arithmetic,87
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,arithmetic,87
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,arithmetic,87
without-smart-kleene-order,arithmetic,86
without-bidirectional without-smart-kleene-order,arithmetic,84
without-remove-redundant-parts without-smart-kleene-order,arithmetic,86
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,arithmetic,86
without-remove-redundant-sets without-smart-kleene-order,arithmetic,85
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,arithmetic,87
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,arithmetic,86
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,arithmetic,85
without-generate-less without-smart-kleene-order,arithmetic,89
without-bidirectional without-generate-less without-smart-kleene-order,arithmetic,88
without-remove-redundant-parts without-generate-less without-smart-kleene-order,arithmetic,88
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,arithmetic,90
without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,86
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,84
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,85
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,83
all-on,bank,4195
without-bidirectional,bank,4458
without-remove-redundant-parts,bank,5386
without-bidirectional without-remove-redundant-parts,bank,4192
without-remove-redundant-sets,bank,4208
without-bidirectional without-remove-redundant-sets,bank,5147
without-remove-redundant-parts without-remove-redundant-sets,bank,7267
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,bank,6386
without-generate-less,bank,10283
without-bidirectional without-generate-less,bank,4419
without-remove-redundant-parts without-generate-less,bank,4732
without-bidirectional without-remove-redundant-parts without-generate-less,bank,3799
without-remove-redundant-sets without-generate-less,bank,4342
without-bidirectional without-remove-redundant-sets without-generate-less,bank,10016
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,bank,4928
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,bank,10057
without-smart-kleene-order,bank,4774
without-bidirectional without-smart-kleene-order,bank,4422
without-remove-redundant-parts without-smart-kleene-order,bank,5873
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,bank,5078
without-remove-redundant-sets without-smart-kleene-order,bank,10015
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,bank,7298
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,bank,10018
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,bank,6849
without-generate-less without-smart-kleene-order,bank,10176
without-bidirectional without-generate-less without-smart-kleene-order,bank,3571
without-remove-redundant-parts without-generate-less without-smart-kleene-order,bank,4879
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,bank,10037
without-remove-redundant-sets without-generate-less without-smart-kleene-order,bank,10013
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,bank,10098
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,bank,10104
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,bank,10119
all-on,bank_without_yields,1526
without-bidirectional,bank_without_yields,1186
without-remove-redundant-parts,bank_without_yields,1137
without-bidirectional without-remove-redundant-parts,bank_without_yields,1150
without-remove-redundant-sets,bank_without_yields,1673
without-bidirectional without-remove-redundant-sets,bank_without_yields,1621
without-remove-redundant-parts without-remove-redundant-sets,bank_without_yields,2804
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,bank_without_yields,2827
without-generate-less,bank_without_yields,540
without-bidirectional without-generate-less,bank_without_yields,10203
without-remove-redundant-parts without-generate-less,bank_without_yields,584
without-bidirectional without-remove-redundant-parts without-generate-less,bank_without_yields,10385
without-remove-redundant-sets without-generate-less,bank_without_yields,10257
without-bidirectional without-remove-redundant-sets without-generate-less,bank_without_yields,288
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,bank_without_yields,425
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,bank_without_yields,10364
without-smart-kleene-order,bank_without_yields,1257
without-bidirectional without-smart-kleene-order,bank_without_yields,1127
without-remove-redundant-parts without-smart-kleene-order,bank_without_yields,1051
