mode,example,elapsed_ms
without-remove-redundant-parts without-remove-redundant-sets,BGP_routing,600
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,BGP_routing,553
without-generate-less,BGP_routing,30127
without-bidirectional without-generate-less,BGP_routing,30114
without-remove-redundant-parts without-generate-less,BGP_routing,30294
without-bidirectional without-remove-redundant-parts without-generate-less,BGP_routing,30064
without-remove-redundant-sets without-generate-less,BGP_routing,30042
without-bidirectional without-remove-redundant-sets without-generate-less,BGP_routing,30067
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,BGP_routing,30076
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,BGP_routing,30322
without-smart-kleene-order,BGP_routing,983
without-bidirectional without-smart-kleene-order,BGP_routing,754
without-remove-redundant-parts without-smart-kleene-order,BGP_routing,560
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,BGP_routing,533
without-remove-redundant-sets without-smart-kleene-order,BGP_routing,756
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,BGP_routing,707
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,BGP_routing,533
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,BGP_routing,501
without-generate-less without-smart-kleene-order,BGP_routing,30040
without-bidirectional without-generate-less without-smart-kleene-order,BGP_routing,30057
without-remove-redundant-parts without-generate-less without-smart-kleene-order,BGP_routing,30250
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,BGP_routing,30038
without-remove-redundant-sets without-generate-less without-smart-kleene-order,BGP_routing,30066
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,BGP_routing,30226
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,BGP_routing,30278
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,BGP_routing,30034
all-on,boolean_ops,113
without-bidirectional,boolean_ops,111
without-remove-redundant-parts,boolean_ops,127
without-bidirectional without-remove-redundant-parts,boolean_ops,123
without-remove-redundant-sets,boolean_ops,101
without-bidirectional without-remove-redundant-sets,boolean_ops,104
without-remove-redundant-parts without-remove-redundant-sets,boolean_ops,101
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,boolean_ops,105
without-generate-less,boolean_ops,98
without-bidirectional without-generate-less,boolean_ops,102
without-remove-redundant-parts without-generate-less,boolean_ops,96
without-bidirectional without-remove-redundant-parts without-generate-less,boolean_ops,101
