mode,example,elapsed_ms
all-on,data_flow,111
without-bidirectional,data_flow,109
without-remove-redundant-parts,data_flow,109
without-bidirectional without-remove-redundant-parts,data_flow,112
without-remove-redundant-sets,data_flow,112
without-bidirectional without-remove-redundant-sets,data_flow,110
without-remove-redundant-parts without-remove-redundant-sets,data_flow,111
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,data_flow,112
without-generate-less,data_flow,108
without-bidirectional without-generate-less,data_flow,112
without-remove-redundant-parts without-generate-less,data_flow,108
without-bidirectional without-remove-redundant-parts without-generate-less,data_flow,117
without-remove-redundant-sets without-generate-less,data_flow,112
without-bidirectional without-remove-redundant-sets without-generate-less,data_flow,110
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,data_flow,113
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,data_flow,113
without-smart-kleene-order,data_flow,109
without-bidirectional without-smart-kleene-order,data_flow,112
without-remove-redundant-parts without-smart-kleene-order,data_flow,110
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,data_flow,124
without-remove-redundant-sets without-smart-kleene-order,data_flow,107
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,data_flow,133
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,data_flow,132
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,data_flow,140
without-generate-less without-smart-kleene-order,data_flow,128
without-bidirectional without-generate-less without-smart-kleene-order,data_flow,113
without-remove-redundant-parts without-generate-less without-smart-kleene-order,data_flow,108
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,data_flow,105
without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,111
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,109
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,109
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,117
all-on,login_flow,134
without-bidirectional,login_flow,131
without-remove-redundant-parts,login_flow,450
without-bidirectional without-remove-redundant-parts,login_flow,457
without-remove-redundant-sets,login_flow,125
without-bidirectional without-remove-redundant-sets,login_flow,124
without-remove-redundant-parts without-remove-redundant-sets,login_flow,163
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,login_flow,291
without-generate-less,login_flow,96
without-bidirectional without-generate-less,login_flow,97
without-remove-redundant-parts without-generate-less,login_flow,95
without-bidirectional without-remove-redundant-parts without-generate-less,login_flow,94
without-remove-redundant-sets without-generate-less,login_flow,98
without-bidirectional without-remove-redundant-sets without-generate-less,login_flow,96
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,login_flow,94
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,login_flow,100
without-smart-kleene-order,login_flow,125
without-bidirectional without-smart-kleene-order,login_flow,128
without-remove-redundant-parts without-smart-kleene-order,login_flow,449
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,login_flow,341
without-remove-redundant-sets without-smart-kleene-order,login_flow,126
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,login_flow,121
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,login_flow,166
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,login_flow,165
without-generate-less without-smart-kleene-order,login_flow,94
without-bidirectional without-generate-less without-smart-kleene-order,login_flow,101
without-remove-redundant-parts without-generate-less without-smart-kleene-order,login_flow,96
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,login_flow,93
without-remove-redundant-sets without-generate-less without-smart-kleene-order,login_flow,96
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,login_flow,97
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,login_flow,95
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,login_flow,93
all-on,shopping_cart,189
without-bidirectional,shopping_cart,214
without-remove-redundant-parts,shopping_cart,31206
without-bidirectional without-remove-redundant-parts,shopping_cart,31358
without-remove-redundant-sets,shopping_cart,583
without-bidirectional without-remove-redundant-sets,shopping_cart,477
without-remove-redundant-parts without-remove-redundant-sets,shopping_cart,107
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,shopping_cart,101
without-generate-less,shopping_cart,163
without-bidirectional without-generate-less,shopping_cart,158
without-remove-redundant-parts without-generate-less,shopping_cart,1812
without-bidirectional without-remove-redundant-parts without-generate-less,shopping_cart,1971
without-remove-redundant-sets without-generate-less,shopping_cart,1998
without-bidirectional without-remove-redundant-sets without-generate-less,shopping_cart,1881
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,shopping_cart,1630
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,shopping_cart,167
without-smart-kleene-order,shopping_cart,213
without-bidirectional without-smart-kleene-order,shopping_cart,200
without-remove-redundant-parts without-smart-kleene-order,shopping_cart,31316
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,shopping_cart,31019
without-remove-redundant-sets without-smart-kleene-order,shopping_cart,406
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,shopping_cart,604
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,shopping_cart,114
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,shopping_cart,114
without-generate-less without-smart-kleene-order,shopping_cart,1972
without-bidirectional without-generate-less without-smart-kleene-order,shopping_cart,1932
without-remove-redundant-parts without-generate-less without-smart-kleene-order,shopping_cart,2313
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,shopping_cart,1765
without-remove-redundant-sets without-generate-less without-smart-kleene-order,shopping_cart,178
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,shopping_cart,1851
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,shopping_cart,2221
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,shopping_cart,1826
all-on,snapshot_isolation_directly_as_NS_without_yields,121
without-bidirectional,snapshot_isolation_directly_as_NS_without_yields,122
without-remove-redundant-parts,snapshot_isolation_directly_as_NS_without_yields,121
without-bidirectional without-remove-redundant-parts,snapshot_isolation_directly_as_NS_without_yields,131
without-remove-redundant-sets,snapshot_isolation_directly_as_NS_without_yields,128
without-bidirectional without-remove-redundant-sets,snapshot_isolation_directly_as_NS_without_yields,125
without-remove-redundant-parts without-remove-redundant-sets,snapshot_isolation_directly_as_NS_without_yields,118
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,snapshot_isolation_directly_as_NS_without_yields,125
without-generate-less,snapshot_isolation_directly_as_NS_without_yields,121
without-bidirectional without-generate-less,snapshot_isolation_directly_as_NS_without_yields,117
without-remove-redundant-parts without-generate-less,snapshot_isolation_directly_as_NS_without_yields,117
without-bidirectional without-remove-redundant-parts without-generate-less,snapshot_isolation_directly_as_NS_without_yields,123
without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_without_yields,125
without-bidirectional without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_without_yields,120
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_without_yields,118
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_without_yields,118
without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,122
without-bidirectional without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,123
without-remove-redundant-parts without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,133
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,121
without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,125
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,135
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,132
