mode,example,elapsed_ms
all-on,arithmetic,99
without-bidirectional,arithmetic,95
without-remove-redundant-parts,arithmetic,95
without-bidirectional without-remove-redundant-parts,arithmetic,94
without-remove-redundant-sets,arithmetic,93
without-bidirectional without-remove-redundant-sets,arithmetic,95
without-remove-redundant-parts without-remove-redundant-sets,arithmetic,97
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,arithmetic,101
without-generate-less,arithmetic,101
without-bidirectional without-generate-less,arithmetic,95
without-remove-redundant-parts without-generate-less,arithmetic,96
without-bidirectional without-remove-redundant-parts without-generate-less,arithmetic,96
without-remove-redundant-sets without-generate-less,arithmetic,98
without-bidirectional without-remove-redundant-sets without-generate-less,arithmetic,98
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,arithmetic,102
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,arithmetic,102
without-smart-kleene-order,arithmetic,98
without-bidirectional without-smart-kleene-order,arithmetic,98
without-remove-redundant-parts without-smart-kleene-order,arithmetic,100
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,arithmetic,101
without-remove-redundant-sets without-smart-kleene-order,arithmetic,97
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,arithmetic,100
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,arithmetic,102
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,arithmetic,94
without-generate-less without-smart-kleene-order,arithmetic,115
without-bidirectional without-generate-less without-smart-kleene-order,arithmetic,92
without-remove-redundant-parts without-generate-less without-smart-kleene-order,arithmetic,97
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,arithmetic,95
without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,94
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,93
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,93
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,arithmetic,96
all-on,bank,11768
without-bidirectional,bank,6495
without-remove-redundant-parts,bank,5366
without-bidirectional without-remove-redundant-parts,bank,5172
without-remove-redundant-sets,bank,7030
without-bidirectional without-remove-redundant-sets,bank,5829
